date,shop,variety,size,seller_price_per_stem,units_sold
2024-09-02,Anthurium Flower Garden,Baby Pink,Large,104.17,66
2024-09-02,Anthurium Flower Garden,Black Cardinal,Small,81.74,18
2024-09-02,Anthurium Flower Garden,Flash,Medium,103.25,33
2024-09-02,Anthurium Flower Garden,Lady Jane,Medium,88.19,41
2024-09-02,Anthurium Flower Garden,Red,Medium,83.83,74
2024-09-02,Horana Anthurium,Baby Pink,Large,96.93,42
2024-09-02,Horana Anthurium,Black Cardinal,Medium,86.69,14
2024-09-02,Horana Anthurium,Flash,Large,109.78,22
2024-09-02,Horana Anthurium,Lady Jane,Small,68,26
2024-09-02,Horana Anthurium,Red,Large,85.97,46
2024-09-02,Oscar Anthurium,Baby Pink,Medium,86.27,40
2024-09-02,Oscar Anthurium,Black Cardinal,Large,105.3,12
2024-09-02,Oscar Anthurium,Flash,Small,86.35,20
2024-09-02,Oscar Anthurium,Lady Jane,Medium,82.42,43
2024-09-02,Oscar Anthurium,Red,Small,69.26,58
2024-09-09,Anthurium Flower Garden,Baby Pink,Small,79.31,62
2024-09-09,Anthurium Flower Garden,Black Cardinal,Small,82.84,16
2024-09-09,Anthurium Flower Garden,Flash,Small,88.12,32
2024-09-09,Anthurium Flower Garden,Lady Jane,Medium,88.51,56
2024-09-09,Anthurium Flower Garden,Red,Medium,84.73,96
2024-09-09,Horana Anthurium,Baby Pink,Medium,84.97,44
2024-09-09,Horana Anthurium,Black Cardinal,Large,98.67,14
2024-09-09,Horana Anthurium,Flash,Medium,93.49,16
2024-09-09,Horana Anthurium,Lady Jane,Medium,81.3,19
2024-09-09,Horana Anthurium,Red,Medium,76.9,54
2024-09-09,Oscar Anthurium,Baby Pink,Medium,87.5,32
2024-09-09,Oscar Anthurium,Black Cardinal,Large,104.26,12
2024-09-09,Oscar Anthurium,Flash,Medium,100.59,20
2024-09-09,Oscar Anthurium,Lady Jane,Large,98.23,28
2024-09-09,Oscar Anthurium,Red,Small,67.21,62
2024-09-16,Anthurium Flower Garden,Baby Pink,Large,107.23,58
2024-09-16,Anthurium Flower Garden,Black Cardinal,Medium,95.38,19
2024-09-16,Anthurium Flower Garden,Flash,Medium,105.94,22
2024-09-16,Anthurium Flower Garden,Lady Jane,Large,99.97,38
2024-09-16,Anthurium Flower Garden,Red,Large,98.5,102
2024-09-16,Horana Anthurium,Baby Pink,Medium,82.09,32
2024-09-16,Horana Anthurium,Black Cardinal,Large,99.94,18
2024-09-16,Horana Anthurium,Flash,Medium,95.54,22
2024-09-16,Horana Anthurium,Lady Jane,Medium,80.19,30
2024-09-16,Horana Anthurium,Red,Large,86.25,49
2024-09-16,Oscar Anthurium,Baby Pink,Small,73.6,34
2024-09-16,Oscar Anthurium,Black Cardinal,Medium,91.28,20
2024-09-16,Oscar Anthurium,Flash,Large,113.71,20
2024-09-16,Oscar Anthurium,Lady Jane,Small,72.08,34
2024-09-16,Oscar Anthurium,Red,Medium,79.49,64
2024-09-23,Anthurium Flower Garden,Baby Pink,Medium,93.08,52
2024-09-23,Anthurium Flower Garden,Black Cardinal,Medium,98.43,24
2024-09-23,Anthurium Flower Garden,Flash,Large,121.68,34
2024-09-23,Anthurium Flower Garden,Lady Jane,Small,74.53,56
2024-09-23,Anthurium Flower Garden,Red,Small,71.95,78
2024-09-23,Horana Anthurium,Baby Pink,Medium,84.9,35
2024-09-23,Horana Anthurium,Black Cardinal,Large,100.39,10
2024-09-23,Horana Anthurium,Flash,Medium,95.29,20
2024-09-23,Horana Anthurium,Lady Jane,Small,67.25,30
2024-09-23,Horana Anthurium,Red,Medium,76.52,41
2024-09-23,Oscar Anthurium,Baby Pink,Medium,86.96,45
2024-09-23,Oscar Anthurium,Black Cardinal,Large,106.76,20
2024-09-23,Oscar Anthurium,Flash,Large,117.05,23
2024-09-23,Oscar Anthurium,Lady Jane,Small,72.07,20
2024-09-23,Oscar Anthurium,Red,Medium,78.92,66
2024-09-30,Anthurium Flower Garden,Baby Pink,Small,77.46,53
2024-09-30,Anthurium Flower Garden,Black Cardinal,Medium,98.1,26
2024-09-30,Anthurium Flower Garden,Flash,Medium,105.61,31
2024-09-30,Anthurium Flower Garden,Lady Jane,Small,73.78,44
2024-09-30,Anthurium Flower Garden,Red,Large,97.97,77
2024-09-30,Horana Anthurium,Baby Pink,Small,71.25,27
2024-09-30,Horana Anthurium,Black Cardinal,Medium,87.1,22
2024-09-30,Horana Anthurium,Flash,Small,81.78,21
2024-09-30,Horana Anthurium,Lady Jane,Medium,79.85,19
2024-09-30,Horana Anthurium,Red,Medium,76.76,59
2024-09-30,Oscar Anthurium,Baby Pink,Medium,87.35,38
2024-09-30,Oscar Anthurium,Black Cardinal,Medium,90.25,14
2024-09-30,Oscar Anthurium,Flash,Large,113.72,18
2024-09-30,Oscar Anthurium,Lady Jane,Medium,84.59,32
2024-09-30,Oscar Anthurium,Red,Large,91.98,56
2024-10-07,Anthurium Flower Garden,Baby Pink,Large,107.06,60
2024-10-07,Anthurium Flower Garden,Black Cardinal,Medium,96.95,14
2024-10-07,Anthurium Flower Garden,Flash,Small,89.87,28
2024-10-07,Anthurium Flower Garden,Lady Jane,Large,100.9,50
